                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7863,                 1.8445,                 1.4271,                0.76987,                0.72742,                0.75742,                0.47894,                  1.686,                  1.072,                 1.3882,               0.070169,              0.0033145,              0.0033145
                      1,                 1.6537,                 1.0604,                 1.3477,                 0.7786,                0.74079,                0.81598,                0.50842,                 1.6009,                0.93983,                 1.3926,               0.040104,               0.006582,               0.006582
                      2,                 1.6749,                 1.1423,                 1.3562,                0.48943,                0.46755,                0.41035,                0.19975,                 1.8504,                 1.7301,                 1.5338,              0.0099719,              0.0097835,              0.0097835
                      3,                 1.7245,                 1.2482,                  1.398,                0.63679,                0.58832,                0.60979,                0.31283,                 1.7014,                 1.2207,                 1.4732,               0.009703,               0.009703,               0.009703
                      4,                 1.7378,                 1.2147,                  1.409,                0.53952,                0.47961,                0.49135,                0.24151,                  1.792,                  1.521,                 1.5106,               0.009703,               0.009703,               0.009703
                      5,                 1.7121,                 1.1442,                 1.4205,                 0.6021,                 0.5984,                0.62147,                0.32544,                 1.7272,                 1.1432,                 1.4427,               0.009604,               0.009604,               0.009604
                      6,                 1.6796,                 1.0845,                 1.3991,                0.56421,                0.63602,                0.58834,                0.29914,                 1.6954,                 1.0497,                 1.4545,               0.009505,               0.009505,               0.009505
                      7,                 1.6891,                 1.0642,                 1.3958,                 0.6254,                0.65326,                 0.6886,                0.34872,                 1.7141,                 1.0572,                 1.4921,               0.009406,               0.009406,               0.009406
                      8,                 1.6676,                 1.0337,                 1.4121,                0.77209,                0.67886,                0.78283,                0.43973,                 1.6691,                0.91982,                 1.4291,               0.009307,               0.009307,               0.009307
                      9,                 1.6541,                  1.013,                 1.4075,                0.70911,                0.59508,                0.70099,                0.36686,                 1.6897,                 1.1638,                 1.4807,               0.009208,               0.009208,               0.009208
                     10,                 1.6363,                0.99829,                 1.3857,                0.72501,                 0.6975,                0.75032,                0.40617,                 1.6834,                0.95153,                 1.4475,               0.009109,               0.009109,               0.009109
                     11,                 1.6477,                0.98461,                 1.3859,                0.74226,                 0.6506,                0.68713,                0.36576,                 1.6316,                0.97319,                 1.4019,                0.00901,                0.00901,                0.00901
                     12,                 1.6171,                0.97594,                 1.3808,                0.66948,                0.69122,                0.74067,                0.40728,                 1.6584,                0.99818,                 1.4622,               0.008911,               0.008911,               0.008911
                     13,                 1.6124,                0.94452,                 1.3857,                0.73837,                0.69244,                0.74571,                0.42266,                 1.6331,                0.96303,                 1.4141,               0.008812,               0.008812,               0.008812
                     14,                 1.5907,                0.92452,                 1.3574,                0.70747,                0.77118,                0.78344,                0.43608,                 1.6157,                0.86586,                 1.4025,               0.008713,               0.008713,               0.008713
                     15,                 1.5825,                 0.9117,                 1.3616,                0.78801,                0.76156,                0.84058,                0.46503,                  1.644,                0.88271,                 1.4413,               0.008614,               0.008614,               0.008614
                     16,                 1.5859,                0.90937,                 1.3754,                0.76501,                0.79165,                0.81765,                0.48269,                 1.5794,                0.83944,                 1.3878,               0.008515,               0.008515,               0.008515
                     17,                 1.5734,                0.88501,                 1.3506,                0.83569,                 0.7425,                0.84996,                0.48839,                 1.5692,                0.84483,                 1.3834,               0.008416,               0.008416,               0.008416
                     18,                 1.5655,                0.87247,                 1.3482,                0.90328,                0.72337,                0.85771,                0.49663,                 1.5677,                0.79262,                 1.3824,               0.008317,               0.008317,               0.008317
                     19,                 1.5455,                0.83876,                 1.3472,                0.78353,                0.81429,                0.86085,                0.51393,                  1.558,                0.76827,                 1.3839,               0.008218,               0.008218,               0.008218
                     20,                  1.561,                0.86569,                 1.3659,                0.88297,                0.80584,                0.88442,                0.50888,                 1.6032,                0.84239,                 1.4146,               0.008119,               0.008119,               0.008119
                     21,                 1.5466,                0.85962,                 1.3353,                0.83633,                0.72978,                0.83783,                  0.479,                 1.6315,                0.85223,                 1.4122,                0.00802,                0.00802,                0.00802
                     22,                 1.5314,                0.83361,                 1.3418,                0.88786,                0.78855,                0.88954,                0.52085,                 1.5569,                0.79117,                 1.3712,               0.007921,               0.007921,               0.007921
                     23,                 1.5402,                0.84686,                 1.3158,                 0.7433,                0.81008,                0.82531,                0.47198,                 1.5855,                0.80101,                 1.3935,               0.007822,               0.007822,               0.007822
                     24,                 1.5209,                0.81444,                 1.3091,                0.80714,                0.86524,                0.88144,                0.53037,                 1.5452,                 0.7703,                 1.3567,               0.007723,               0.007723,               0.007723
                     25,                 1.5131,                0.83121,                 1.3097,                0.81592,                0.81684,                0.87414,                0.50257,                 1.5695,                0.75331,                  1.372,               0.007624,               0.007624,               0.007624
                     26,                 1.4796,                0.79698,                 1.3066,                0.87671,                0.84613,                0.91082,                0.52973,                 1.5779,                0.76413,                 1.3952,               0.007525,               0.007525,               0.007525
                     27,                 1.5006,                0.78583,                 1.2984,                0.88518,                0.81662,                0.89722,                0.56133,                  1.552,                0.75641,                 1.3671,               0.007426,               0.007426,               0.007426
                     28,                 1.5075,                0.78457,                 1.2993,                0.90893,                0.81397,                0.90431,                0.52793,                 1.5414,                 0.7267,                 1.3581,               0.007327,               0.007327,               0.007327
                     29,                 1.4885,                0.78005,                 1.3077,                0.88691,                0.81082,                0.90035,                0.52505,                  1.526,                0.72814,                 1.3521,               0.007228,               0.007228,               0.007228
                     30,                 1.5199,                0.77146,                 1.3071,                 0.8693,                0.81134,                 0.8822,                0.53997,                 1.5599,                0.77226,                 1.3686,               0.007129,               0.007129,               0.007129
                     31,                 1.4943,                0.78079,                 1.3046,                0.88257,                0.78121,                0.85778,                0.51558,                 1.5278,                0.75451,                 1.3404,                0.00703,                0.00703,                0.00703
                     32,                 1.4876,                0.76942,                 1.3005,                0.87661,                0.79884,                0.89155,                0.53607,                 1.5285,                0.72856,                 1.3431,               0.006931,               0.006931,               0.006931
                     33,                 1.4811,                 0.7703,                  1.289,                 0.8578,                0.80942,                0.88692,                 0.5316,                 1.5443,                0.75084,                 1.3549,               0.006832,               0.006832,               0.006832
                     34,                 1.4515,                0.75051,                 1.2836,                0.86508,                0.84849,                0.90162,                0.56229,                 1.5049,                 0.7274,                 1.3391,               0.006733,               0.006733,               0.006733
                     35,                 1.4755,                 0.7564,                 1.2852,                0.91584,                0.80022,                0.88228,                0.54806,                 1.5447,                0.72441,                 1.3675,               0.006634,               0.006634,               0.006634
                     36,                 1.4415,                 0.7591,                 1.2771,                 0.8501,                0.87385,                0.91475,                0.55898,                 1.5275,                0.70241,                  1.345,               0.006535,               0.006535,               0.006535
                     37,                 1.4744,                0.75258,                 1.2828,                0.88633,                0.84135,                 0.9185,                0.56721,                 1.5093,                0.70188,                 1.3406,               0.006436,               0.006436,               0.006436
                     38,                 1.4444,                0.72338,                 1.2759,                0.87613,                0.85304,                0.90869,                0.56026,                 1.5295,                0.68517,                 1.3514,               0.006337,               0.006337,               0.006337
                     39,                 1.4383,                0.73033,                 1.2656,                0.81651,                0.89046,                0.91494,                0.56569,                   1.49,                0.69549,                  1.336,               0.006238,               0.006238,               0.006238
                     40,                 1.4291,                0.71988,                 1.2637,                 0.9045,                0.91317,                 0.9395,                0.58476,                 1.5214,                0.67669,                 1.3306,               0.006139,               0.006139,               0.006139
                     41,                 1.4497,                0.72566,                 1.2735,                0.83644,                0.88966,                0.91206,                0.56513,                 1.5073,                0.69042,                 1.3263,                0.00604,                0.00604,                0.00604
                     42,                 1.4122,                0.70845,                 1.2546,                0.90151,                0.88465,                0.93697,                0.58064,                 1.5284,                0.68419,                 1.3535,               0.005941,               0.005941,               0.005941
                     43,                 1.4018,                0.69992,                 1.2476,                0.94791,                0.86964,                0.93822,                0.58489,                 1.5121,                 0.6647,                  1.336,               0.005842,               0.005842,               0.005842
                     44,                 1.4015,                0.69538,                 1.2465,                0.89314,                0.86987,                0.90725,                0.53171,                 1.5229,                0.66419,                  1.324,               0.005743,               0.005743,               0.005743
                     45,                 1.4055,                0.69137,                 1.2473,                0.89723,                0.83652,                0.91852,                0.57055,                 1.5045,                0.68579,                 1.3373,               0.005644,               0.005644,               0.005644
                     46,                 1.3927,                0.70224,                 1.2412,                 0.8645,                0.87457,                0.91269,                0.57416,                  1.498,                0.68777,                  1.312,               0.005545,               0.005545,               0.005545
                     47,                 1.3812,                0.69203,                 1.2398,                0.91717,                0.86721,                0.92801,                0.59437,                 1.4884,                0.67852,                 1.3094,               0.005446,               0.005446,               0.005446
                     48,                 1.3786,                0.67954,                 1.2408,                 0.8839,                0.84731,                0.91894,                0.58402,                 1.5116,                0.68274,                 1.3389,               0.005347,               0.005347,               0.005347
                     49,                  1.379,                0.67624,                 1.2311,                0.92964,                0.87468,                0.93617,                0.57669,                 1.4924,                0.66158,                 1.3166,               0.005248,               0.005248,               0.005248
                     50,                 1.3731,                0.66462,                 1.2304,                0.89348,                0.86644,                0.93163,                0.59408,                 1.4921,                0.65756,                 1.3061,               0.005149,               0.005149,               0.005149
                     51,                 1.3706,                 0.6749,                 1.2318,                0.91317,                 0.8929,                0.93628,                0.57938,                 1.5232,                0.66398,                 1.3465,                0.00505,                0.00505,                0.00505
                     52,                 1.3697,                0.66058,                 1.2281,                 0.8687,                0.88839,                 0.9283,                0.59134,                 1.5092,                 0.6561,                 1.3351,               0.004951,               0.004951,               0.004951
                     53,                 1.3546,                0.66262,                 1.2279,                0.87079,                0.87909,                0.93194,                0.60378,                 1.5117,                0.65617,                 1.3414,               0.004852,               0.004852,               0.004852
                     54,                 1.3482,                0.66873,                 1.2238,                0.89457,                0.85052,                0.92368,                0.59042,                 1.4959,                0.65559,                 1.3344,               0.004753,               0.004753,               0.004753
                     55,                 1.3492,                0.64994,                 1.2264,                0.89979,                0.85418,                0.92181,                0.58141,                 1.4885,                0.67252,                 1.3429,               0.004654,               0.004654,               0.004654
                     56,                  1.347,                0.66006,                 1.2178,                 0.8655,                0.88614,                0.92355,                0.58975,                 1.5005,                0.63638,                   1.35,               0.004555,               0.004555,               0.004555
                     57,                 1.3611,                0.65124,                 1.2364,                0.91588,                  0.859,                  0.922,                0.59019,                 1.5041,                0.65338,                 1.3275,               0.004456,               0.004456,               0.004456
                     58,                 1.3216,                0.63323,                 1.2148,                0.90289,                0.88148,                0.92167,                0.59406,                 1.5038,                0.64396,                 1.3349,               0.004357,               0.004357,               0.004357
                     59,                 1.3231,                0.63056,                 1.2173,                0.88074,                0.88557,                 0.9246,                0.59678,                  1.491,                0.64677,                 1.3381,               0.004258,               0.004258,               0.004258
                     60,                 1.3228,                0.63336,                 1.2206,                0.91077,                0.88659,                0.93283,                0.59986,                 1.4944,                0.63592,                 1.3446,               0.004159,               0.004159,               0.004159
                     61,                 1.3187,                0.64099,                 1.2162,                0.92727,                0.86677,                0.93213,                0.58834,                 1.4789,                0.64601,                 1.3206,                0.00406,                0.00406,                0.00406
                     62,                 1.3159,                0.63472,                 1.2006,                0.91072,                0.89278,                0.93442,                0.60702,                 1.4719,                0.63003,                 1.3177,               0.003961,               0.003961,               0.003961
                     63,                 1.3008,                0.63178,                 1.1899,                0.87246,                0.89413,                0.94191,                0.60717,                 1.4998,                0.62989,                 1.3366,               0.003862,               0.003862,               0.003862
                     64,                 1.3056,                0.63105,                 1.2012,                0.92327,                0.86766,                0.91973,                0.59604,                 1.4749,                0.64821,                 1.3117,               0.003763,               0.003763,               0.003763
                     65,                 1.2949,                0.62767,                 1.1898,                0.92189,                0.90438,                0.92436,                0.60934,                  1.475,                0.62946,                 1.3182,               0.003664,               0.003664,               0.003664
                     66,                 1.2786,                0.60501,                 1.1898,                0.91771,                0.88719,                0.91917,                 0.5779,                 1.4963,                0.61982,                 1.3261,               0.003565,               0.003565,               0.003565
                     67,                 1.3005,                0.61833,                 1.1844,                0.90687,                0.87388,                0.92954,                0.59591,                 1.4938,                0.61917,                 1.3236,               0.003466,               0.003466,               0.003466
