                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9955,                  1.733,                 1.3159,                0.50369,                0.29288,                0.23721,                0.10423,                 2.0045,                 1.6895,                 1.2611,               0.070037,              0.0033292,              0.0033292
                      1,                 1.8456,                 1.3463,                  1.162,                 0.5521,                 0.3385,                0.28126,                0.13043,                 1.9223,                 1.6153,                  1.232,               0.039971,              0.0065966,              0.0065966
                      2,                 1.8418,                 1.3452,                 1.1577,                0.54985,                0.31261,                0.26581,                0.12723,                 1.9907,                  1.631,                 1.2768,              0.0098393,              0.0097979,              0.0097979
                      3,                 1.8286,                 1.3213,                 1.1494,                0.57014,                0.33805,                0.29067,                0.13747,                 1.9128,                 1.5347,                 1.2041,               0.009703,               0.009703,               0.009703
                      4,                 1.7887,                 1.2551,                 1.1257,                0.57844,                0.35622,                0.30677,                0.14957,                 1.8641,                 1.5305,                 1.2069,               0.009703,               0.009703,               0.009703
                      5,                 1.7483,                  1.225,                 1.1155,                0.57203,                0.34848,                0.29153,                0.14235,                 1.8574,                 1.4781,                 1.1825,               0.009604,               0.009604,               0.009604
                      6,                 1.7355,                 1.1965,                  1.108,                0.59435,                0.37245,                0.31895,                0.15915,                 1.7897,                 1.4388,                 1.1731,               0.009505,               0.009505,               0.009505
                      7,                 1.7044,                 1.1625,                 1.0977,                0.57545,                 0.3733,                  0.315,                0.15493,                 1.7895,                 1.4698,                  1.173,               0.009406,               0.009406,               0.009406
                      8,                 1.6986,                 1.1526,                 1.0944,                0.59197,                0.38631,                 0.3288,                0.16124,                 1.7795,                  1.424,                 1.1654,               0.009307,               0.009307,               0.009307
                      9,                 1.6915,                  1.144,                 1.0952,                0.59989,                0.37762,                0.32286,                 0.1649,                 1.7531,                 1.4022,                 1.1533,               0.009208,               0.009208,               0.009208
                     10,                 1.6721,                 1.1251,                 1.0868,                0.60528,                 0.3812,                0.32733,                0.16351,                 1.7625,                  1.397,                 1.1625,               0.009109,               0.009109,               0.009109
                     11,                 1.6499,                 1.1159,                 1.0811,                0.61174,                0.38982,                0.33786,                0.17249,                 1.7317,                 1.3611,                 1.1445,                0.00901,                0.00901,                0.00901
                     12,                 1.6542,                 1.1071,                 1.0799,                0.60695,                0.38969,                0.33263,                0.16801,                 1.7328,                 1.3752,                 1.1383,               0.008911,               0.008911,               0.008911
                     13,                 1.6382,                 1.0982,                 1.0775,                0.61706,                0.39733,                0.34184,                0.17198,                 1.7277,                 1.3578,                 1.1383,               0.008812,               0.008812,               0.008812
