                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4911,                 1.0541,                 1.3046,                0.95607,                0.96448,                0.97373,                0.71987,                 0.9947,                    inf,                 1.0521,                0.07011,              0.0033211,              0.0033211
                      1,                 0.8855,                0.47073,                0.96929,                0.96319,                0.97352,                0.98679,                0.81532,                0.71393,                    inf,                0.90666,               0.039452,              0.0059956,              0.0059956
                      2,                0.75142,                0.41397,                0.91075,                0.96429,                0.97124,                0.98237,                0.84476,                0.59566,                    inf,                0.86511,              0.0081327,              0.0080102,              0.0080102
                      3,                0.62494,                0.35804,                0.86992,                0.98338,                0.98905,                 0.9938,                0.90187,                0.46458,                 0.2838,                0.82148,                0.00703,                0.00703,                0.00703
                      4,                 0.5443,                0.31227,                0.84398,                0.99306,                0.99485,                0.99441,                0.92248,                 0.4147,                0.22807,                0.80824,                0.00703,                0.00703,                0.00703
                      5,                 0.4646,                0.26859,                0.82203,                0.99756,                0.99752,                0.99447,                0.94881,                0.33929,                0.19698,                0.78656,                0.00604,                0.00604,                0.00604
                      6,                0.39745,                0.23975,                0.80548,                0.99783,                0.99734,                0.99452,                   0.96,                0.30246,                0.18211,                0.77619,                0.00505,                0.00505,                0.00505
                      7,                0.34682,                0.21727,                0.79459,                0.99649,                 0.9964,                0.99453,                0.97738,                0.24694,                0.16146,                0.76678,                0.00406,                0.00406,                0.00406
                      8,                0.30558,                0.19821,                0.78785,                0.99851,                0.99837,                0.99453,                0.98338,                0.21992,                0.14672,                0.76245,                0.00307,                0.00307,                0.00307
                      9,                0.26809,                0.18015,                0.78184,                 0.9987,                0.99857,                 0.9946,                0.98772,                0.19793,                0.13748,                0.75816,                0.00208,                0.00208,                0.00208
